arquivo,adicoes,remocoes,num_commits,mudou
.api.rst.swo,0,0,2,1
.coveragerc,10,8,4,1
.env,1,1,2,1
.git-blame-ignore-revs,5,0,1,0
.gitignore,57,17,36,1
.nojekyll,1,0,1,0
.pre-commit-config.yaml,35,7,4,1
.readthedocs.yaml,29,0,2,1
.server.py.swo,0,0,4,1
.travis.yml,173,175,67,1
.workon,1,1,2,1
AUTHORS,106,33,56,1
AUTHORS.orig,40,40,2,1
AUTHORS.rst,238,105,168,1
Bug_report.md,43,7,2,1
CODE_OF_CONDUCT.md,8,2,3,1
CONTRIBUTING.md,61,7,5,1
Custom.md,11,1,3,1
FUNDING.yml,3,2,4,1
Feature_request.md,10,0,2,1
HACKING,22,37,4,1
HISTORY.md,2058,45,45,1
HISTORY.rst,1675,1818,319,1
ISSUE_TEMPLATE.md,47,18,9,1
LICENSE,258,37,17,1
MANIFEST.in,23,20,24,1
Makefile,669,331,131,1
NOTICE,246,256,18,1
Pipfile,98,98,21,1
Pipfile.lock,2724,2719,22,1
README,0,0,2,1
README.md,546,433,171,1
README.rst,796,790,163,1
SECURITY.md,112,27,4,1
TODO.rst,4,4,2,1
__about__.py,0,16,2,1
__collections.py,991,991,2,1
__init__.py,3097,2933,273,1
__main__.py,7,7,2,1
__version__.py,134,104,51,1
_bug.py,99,0,1,0
_collections.py,746,627,28,1
_config.py,14,71,6,1
_implementation.py,161,161,5,1
_internal_utils.py,62,12,8,1
_oauth.py,30,30,5,1
adapters.py,1495,799,164,1
advanced.rst,2123,978,223,1
api.py,728,614,144,1
api.rst,551,242,57,1
api_tests.py,209,0,1,0
appengine.py,337,337,12,1
appveyor.yml,144,139,16,1
args.py,7,7,2,1
async.py,316,270,35,1
auth.py,1159,845,119,1
authentication.rst,195,38,19,1
authors.rst,9,5,6,1
azure-pipelines.yml,14,14,4,1
backup.py,604,604,4,1
big5freq.py,2783,2783,9,1
big5prober.py,300,300,9,1
bindings.py,591,591,4,1
ca,2,0,1,0
ca-private.key,54,26,2,1
ca.cnf,17,0,3,1
ca.crt,50,28,3,1
ca.srl,2,1,2,1
cacert.pem,11605,10853,10,1
cert.cnf,81,0,1,0
certs.py,56,39,10,1
changelog,5,10,3,1
chardetect.py,108,108,4,1
chardistribution.py,1566,1566,10,1
charsetgroupprober.py,761,761,9,1
charsetprober.py,293,293,10,1
circle.yml,4,4,2,1
client.csr,36,12,2,1
client.key,54,26,2,1
client.pem,81,37,2,1
close-issues.yml,38,3,4,1
codec.py,119,119,3,1
codeql-analysis.yml,130,57,24,1
codingstatemachine.py,468,468,10,1
common.py,229,229,2,1
compat,1,2,3,1
compat.py,386,251,55,1
compat.py.orig,123,123,2,1
conf.py,585,199,39,1
config.py,180,182,22,1
conftest.py,69,11,5,1
connection.py,718,710,25,1
connectionpool.py,2606,2080,70,1
constants.py,242,242,8,1
contributing.rst,358,191,40,1
control,13,26,3,1
cookiejar.py,197,197,3,1
cookies.py,974,408,81,1
core.py,2325,2316,138,1
cp949prober.py,100,100,4,1
custom.css,210,33,10,1
deepmind-kr.jpg,0,0,2,1
defaults.py,148,148,39,1
dependabot.yml,11,0,1,0
docs,1,2,3,1
dummy_server.py,46,46,2,1
encode.py,414,828,3,1
enums.py,76,76,2,1
escprober.py,553,553,9,1
escsm.py,1750,1750,9,1
eucjpprober.py,657,657,9,1
euckrfreq.py,1791,1791,9,1
euckrprober.py,300,300,9,1
euctwfreq.py,1626,1626,9,1
euctwprober.py,300,300,9,1
exceptions.py,578,383,82,1
extensions.rst,33,34,2,1
faq.rst,236,104,44,1
fields.py,196,196,9,1
filepost.py,257,186,22,1
flask_theme_support.py,86,0,1,0
flasky.css_t,915,915,13,1
flourish.jpg,0,0,2,1
flourish.png,0,0,5,1
flower-of-life.jpg,0,0,4,1
gb2312freq.py,1421,1421,9,1
gb2312prober.py,300,300,9,1
hacks.html,209,129,20,1
hebrewprober.py,2006,2006,9,1
help.py,103,68,14,1
hooks.py,310,228,30,1
idnadata.py,3144,3144,3,1
index.rst,564,406,186,1
install.ps1,459,459,5,1
install.rst,167,118,43,1
integration_tests.py,528,0,1,0
internals.rst,0,0,2,1
intranges.py,58,58,3,1
intro.rst,95,104,16,1
invokefile.py,5,5,2,1
jisfreq.py,1713,1713,9,1
jpcntx.py,1918,1918,12,1
kmadac.xml,3,3,2,1
konami.js,116,116,2,1
kr-compressed.png,0,0,1,0
kr.png,0,0,1,0
langbulgarianmodel.py,1644,1644,9,1
langcyrillicmodel.py,2348,2348,10,1
langgreekmodel.py,1591,1591,10,1
langhebrewmodel.py,1417,1417,10,1
langhungarianmodel.py,1589,1589,10,1
langthaimodel.py,1406,1406,9,1
langturkishmodel.py,193,193,2,1
latin1prober.py,1004,1004,12,1
layout.html,224,224,20,1
license.png,0,0,3,1
lint.yml,41,21,18,1
lock-issues.yml,27,8,9,1
low_level.py,344,344,4,1
make.bat,453,190,2,1
makefile.py,54,54,4,1
mbcharsetprober.py,634,634,9,1
mbcsgroupprober.py,313,313,10,1
mbcssm.py,3887,3887,11,1
misc.xml,4,4,2,1
models.py,5979,5117,723,1
modules.xml,8,8,2,1
monkeys.py,960,1111,21,1
native.js,262,262,4,1
ntlmpool.py,258,141,17,1
ordered_dict.py,261,261,5,1
out-there.rst,115,101,24,1
packages.py,67,44,12,1
parameters.py,390,390,2,1
patches.py,5,10,3,1
philosophy.rst,65,65,16,1
poolmanager.py,801,673,40,1
post_request.py,7,7,2,1
pre_request.py,7,7,2,1
psf-compressed.png,0,0,1,0
psf.png,0,0,1,0
publish.yml,100,7,6,1
pyopenssl.py,868,853,25,1
pyproject.toml,16,6,3,1
pytest.ini,5,5,4,1
pyversions,1,2,3,1
quickstart.rst,1284,688,172,1
recommended.rst,79,17,13,1
relations.html,19,19,2,1
release-process.rst,85,32,6,1
reqs.txt,22,11,16,1
request.py,499,354,23,1
requests-logo-compressed.png,0,0,1,0
requests-logo-small.jpg,0,0,2,1
requests-logo-small.png,0,0,2,1
requests-logo.ai,11577,2855,4,1
requests-logo.png,0,0,4,1
requests-logo.svg,488,487,2,1
requests-sidebar.jpg,0,0,2,1
requests-sidebar.png,0,0,4,1
requests_open_source.iml,11,11,2,1
requirements-dev.txt,22,15,15,1
requirements-to-freeze.txt,9,9,6,1
requirements.txt,195,199,62,1
response.py,1347,1166,49,1
retry.py,463,457,14,1
rules,42,84,3,1
run-tests.yml,153,78,41,1
safe_mode.py,52,52,6,1
sbcharsetprober.py,881,881,11,1
sbcsgroupprober.py,435,435,10,1
securetransport.py,808,808,4,1
selectors.py,643,643,3,1
server.csr,62,24,2,1
server.key,108,52,2,1
server.pem,166,76,2,1
server.py,405,229,29,1
session.py,44,0,1,0
sessions.py,2560,1719,337,1
settings.json,25,25,2,1
settings.py,42,42,3,1
setup.cfg,27,10,10,1
setup.py,579,473,169,1
sidebarintro.html,467,422,118,1
sidebarlogo.html,406,368,100,1
signature.py,551,551,2,1
six.py,994,994,7,1
sjisprober.py,659,659,10,1
small_flask.css,130,130,7,1
socks.py,201,201,8,1
sponsors.rst,128,121,25,1
ss-compressed.png,0,0,1,0
ss.png,0,0,1,0
ssl_.py,451,451,17,1
status_codes.py,256,128,35,1
streaminghttp.py,204,403,4,1
structures.py,1432,1329,46,1
support.rst,123,87,21,1
t.py,4,4,2,1
t2.py,6,6,2,1
tasks.py,32,32,2,1
template-linux.yml,66,66,4,1
template-windows.yml,72,72,4,1
template.yml,47,47,3,1
test,13,13,2,1
test.py,49,49,8,1
test_adapters.py,8,0,1,0
test_cookies.py,288,288,13,1
test_help.py,54,27,5,1
test_hooks.py,31,9,3,1
test_iteration.py,30,30,3,1
test_keep_alive.py,66,66,3,1
test_leaked_connections.py,32,32,4,1
test_lowlevel.py,578,150,24,1
test_packages.py,13,0,1,0
test_proxies.py,34,34,3,1
test_requests.org,0,0,2,1
test_requests.py,8688,5984,613,1
test_requests_api.py,209,209,9,1
test_requests_async.py,86,86,6,1
test_requests_ext.py,151,151,15,1
test_requests_https.py,34,34,4,1
test_structures.py,177,99,6,1
test_suite.sh,5,5,3,1
test_testserver.py,253,88,15,1
test_unicode.py,66,66,2,1
test_utils.py,1642,809,66,1
theme.conf,18,18,3,1
timeout.py,302,302,6,1
todo.rst,160,151,40,1
tokens.py,132,132,2,1
tox.ini,64,54,28,1
universaldetector.py,1362,1362,12,1
updates.rst,54,35,14,1
url.py,287,246,9,1
utf8prober.py,567,567,9,1
util.py,762,762,18,1
utils.py,2841,1536,283,1
uts46data.py,7634,7634,3,1
vcs.xml,6,6,2,1
version.py,9,9,2,1
vulnerabilities.rst,135,128,12,1
wait.py,40,40,2,1
workspace.xml,398,398,2,1
